category,level,outcome,outcome_level,n,
CC388,1,DD14,9,1,
CC388,1,DD14,26,1,
CC388,1,DD14,32,1,
CC388,1,DD14,33,1,
CC388,1,DD14,34,1,
CC388,1,DD14,35,1,
CC388,1,DD14,36,1,
CC388,1,DD14,37,1,
CC388,1,DD14,38,1,
CC388,1,DD14,39,1,
CC388,1,DD14,40,10,
CC388,1,DD14,41,20,
CC388,1,DD14,42,20,
CC388,1,DD14,43,30,
CC388,1,DD14,44,50,
CC388,1,DD14,45,110,
CC388,1,DD14,46,170,
CC388,1,DD14,47,340,
CC388,1,DD14,48,600,
CC388,1,DD14,49,950,
CC388,1,DD14,50,1570,
CC388,1,DD14,51,1370,
CC388,1,DD14,52,1030,
CC388,1,DD14,53,640,
CC388,1,DD14,54,350,
CC388,1,DD14,55,110,
CC388,1,DD14,56,30,
CC388,1,DD14,57,10,
CC388,1,DD14,58,1,
CC388,1,DD14,63,1,
CC388,1,DD14,70,1,
CC388,1,DD14,31.5,1,
CC388,1,DD14,34.5,1,
CC388,1,DD14,38.5,1,
CC388,1,DD14,39.5,1,
CC388,1,DD14,40.5,1,
CC388,1,DD14,41.5,1,
CC388,1,DD14,42.5,1,
CC388,1,DD14,43.5,1,
CC388,1,DD14,44.5,1,
CC388,1,DD14,45.5,1,
CC388,1,DD14,46.5,1,
CC388,1,DD14,47.5,1,
CC388,1,DD14,48.4,1,
CC388,1,DD14,48.5,1,
CC388,1,DD14,49.5,10,
CC388,1,DD14,49.9,1,
CC388,1,DD14,50.3,1,
CC388,1,DD14,50.5,10,
CC388,1,DD14,50.6,1,
CC388,1,DD14,51.5,10,
CC388,1,DD14,51.6,1,
CC388,1,DD14,52.3,1,
CC388,1,DD14,52.5,10,
CC388,1,DD14,53.5,10,
CC388,1,DD14,54.5,1,
CC388,1,DD14,55.5,1,
CC388,1,DD14,57.5,1, 
CC388,1,DD14,missing,820,
CC389,1,DD14,51,770,
CC389,1,DD14,52,580,
CC389,1,DD14,54,200,
CC389,1,DD14,50,890,
CC389,1,DD14,53,380,
CC389,1,DD14,47,200,
CC389,1,DD14,49,540,
CC389,1,DD14,48,340,
CC389,1,DD14,43,20,
CC389,1,DD14,missing,470,
CC389,1,DD14,46,110,
CC389,1,DD14,39,1,
CC389,1,DD14,55,70,
CC389,1,DD14,45,60,
CC389,1,DD14,54.5,1,
CC389,1,DD14,42,10,
CC389,1,DD14,50.5,10,
CC389,1,DD14,44,30,
CC389,1,DD14,47.5,1,
CC389,1,DD14,49.5,1,
CC389,1,DD14,51.5,1,
CC389,1,DD14,33,1,
CC389,1,DD14,52.5,1,
CC389,1,DD14,56,10,
CC389,1,DD14,41,10,
CC389,1,DD14,45.5,1,
CC389,1,DD14,44.5,1,
CC389,1,DD14,39.5,1,
